university_number,full_name,email,phone_number,face_id
S-20221102,Karim Al-Ahmad,k.alahmad@vu.edu,0930000007,face_emb_8f9a2b1c
S-20221455,Layan Mansour,l.mansour@vu.edu,0930000008,face_emb_3c4d5e6f
S-20222091,Omar Darwish,o.darwish@vu.edu,0930000009,face_emb_7a8b9c0d
S-20223140,Reem Kabbani,r.kabbani@vu.edu,0930000010,face_emb_1e2f3a4b
S-20224219,Fadi Khoury,f.khoury@vu.edu,0930000011,face_emb_5c6d7e8f
S-20225673,Nada Zeidan,n.zeidan@vu.edu,0930000012,face_emb_9f0e1d2c
S-20226388,Bassel Shami,b.shami@vu.edu,0930000013,face_emb_2b3a4f5e
S-20227124,Sawsan Atiyeh,s.atiyeh@vu.edu,0930000014,face_emb_6d5c4b3a
S-20228901,Zuhair Nabulsi,z.nabulsi@vu.edu,0930000015,face_emb_4a3b2c1d
S-20229546,Tima Othman,t.othman@vu.edu,0930000016,face_emb_8e7f6a5b
